comments,category
Railway I have canceled a two ticket on 4th and 6th February but still now I have not received refund Here am sharing my PNR number 6th Feb > PNR no : 4553496559 4th Feb > 4760615973,poor service
Railway I paid for the express train and the journey is feeling like a passenger train which is utter slow sir I expected much better from you people but it's worthless,train delay
Railway I renewed a ticket using UTS App The machine was faulty so the printout did not come Now i am unable to print at any other machine UTR X07GC1P001 Plz help,poor service
Railway If you can't run Harbour line locals on time at least change the time taken to travel The trains run #Everydaylate,train delay
railway improving exponentially,appreciation
"railway improving exponentially safety and speed are vital parts of railway Now railway becomes "" New railway safe railway""",appreciation
Railway is bedsheets are chargeable in #Garibrath pnr 86032 91701,hygiene
Railway is not giving Bhavan's college andheri sufficient slips for monthly pass to girl students so girls r sad Beti bachao,request new service
Railway itsnt you shld hv to improve nw? u must need to knw d value of tym of pasenger am travelling in 15903 from mbd to srp and train is waiting on outer near srp almost most one and half hour seriesly this is just insane need to know value of time,train delay
Railway Jab koi fog nhi na hi koi prblm tb bhi 12566 train 3 ghanta late iska jabab kaun dega Itna fare dene ke bad bhi na sit milta h na hi Apne time se phuch pata h ispe bhi dhayan do,train delay
Railway ki punctuality system bilkul bhartiye smaj par aadharit h. Amir aur amir hote jaate h aur garib aur garib hote jaate h. Means normal train late hone par aur late hote jaati h. Rajdhani late hone par normal train ka time aur kharab kar jaati h. Hahaha,train delay
Railway lots of cockroaches in the coach around head neck and everywhere pnr 8556617274,hygiene
Railway lots of cockroaches in the coach around head neck and everywhere pnr 8556617274,poor service
Railway Ministery need not pay tribute for the lost nor say sorry. V all want safety & security. When people list their lives All ministries say V pay tribute from decades people R still suffering. When will U provide safety & security 2 all. Prove UR doing R else V dont believe,request new service
Railway Mumbai Pune Deccan Queen has halted near Pimpri Station since last 45 mins What is the problem?when will it move?,train delay
Railway Mumbai Pune Deccan Queen has halted near Pimpri Station since last 45 mins What is the problem?when will it move?,train delay
Railway must introduce an App for complaints on food security washroom cleanup dirty linen blanket unauthorised entry of vendors or unreserved passengers This will keep track improvement can be made with help of Business Intelligence,request new service
Railway My brother has lost his Back pack that contained Mac book laptop at #Dadar railway station Please help us in the same by asking your officials that if they find something similar please inform us Thanks,security problem
Railway No ferrycart service at yeshwantpur Railway station Can some one pls give some attention and make some mode for commutation for challenged ppls???,request new service
Railway No water in toilets of S3 Coach 12622 Tamil Nadu Express about to reach Nagpur,hygiene
railway NTES not showing Kundapura halt for 02197 98 Coimbatore Jabalpur Special train Please update,poor service
Railway people from train no 12935 intercity express are playing cards and not allowing any other pasanger to stand or sit proper please take action against them,staff complain
Railway Phagwara Ladies waiting room is not opened due to dirtness ladies have to suffer a lot when they go to gents waiting hall,train delay
Railway plz help us somebody,security problem
Railway PNR 8202880165Trn:12116Dt:01 03 2018Frm SUR to DRCls:SLP1 RC S11 55Why do I have one more person on the same seat with me? Even he is given the same seat number Please help us,poor service
Railway PNR NO:8556969268 Train running late why so sir ?? You are making people fools by selling express train tickets and giving experience of passenger which stop at your unwanted stops too Unreserved tickets people travelling in reservations,train delay
railway police helpline just receive calls and no action is taken even after hours get passed Sir we do not need coaches first of all our secuirity is most important If you can improve that railways will achieve the utmost level it is lacking now,security problem
railway police helpline just receive calls and no action is taken even after hours get passed.Sir we do not need coaches first of all our secuirity is most important.If you can improve that railways will achieve the utmost level it is lacking now,poor service
Railway Rush at bandra station east ticket counter and this counter is closed We are already late plz help us,staff complain
Railway Salute to you all for arranging 2 trains from csmt to bsl for the Farmers who came walking from 187 kms to agitate Really a appreciable job sir Proud to be #RAILUSER,appreciation
railway service of train no 15712 is so bad Very poor service,poor service
Railway Sir i am disappointed with the answer received against my PNR Number 2240732351 I have attached the supported document which is clearly showing train was late more than 3 hrs on that day Kindly revert,train delay
railway starts spl train but don't take care of their punctuality I am travelling today in 04435 anvt lko SPL and it is standing at balamau pls look into issue if no one take the responsibility regarding punctuality then pls don't run SPL train,train delay
Railway Tata Station me digital panel for coach positions not used by station team Also sudden change in platform for 22892 from plat 4 to 1 may cause stamped Please look into this,poor service
Railway there is a suggestion that train no 12171 12172 seriously requires a pantry car,request new service
Railway There is no escalator in Krishnarajpuram Railway station KJP Because of this I had to come to Majestic Railway station wen I had too much luggage,request new service
Railway this is current situation of Indian railway platform in CM'city no one is here to help d passengers on enquiry counter n also led is off so where should i see the status of train??,staff complain
Railway To reached 2km the train takes 40 minutes how it's possible ?? Is d Tyre of the train got deflated?? D train is already late by 4 hrs your making more late and late,request new service
Railway train 12 hrs late and our beloved want to hav bullet train y dnt we invest in system to make existing railway system to be on time always sir help required 07006 is 12 hrs late stupidity to the core,train delay
Railway Train arrived 30 mins late Why lie?? For performance,train delay
Railway Train No 02821 PUNE SRC AC SF SPL SCH DEP 10 30 HRS is re scheduled to leave Pune on 12 03 2018 at 17 00 HRS as the pairing train is running late,train delay
Railway Train No 11081 is standing since last 40 min without any reason PNR 8602861338,train delay
Railway Traveling from Pune to Parali A C is not working PNR 8556320932Trn:11405Dt:02 03 2018Frm PUNE to PRLICls:2AP1 A1 45P2 A1 46Why to pay for A C if it is not working?Please improve quality of service,poor service
Railway traveling in train no 12616 pnr 2343191840 Problem that the electricity board is open on birth 16 Can't close Can't sleep please look after that thanks,poor service
Railway Unable to get status of train no 02821 Not available even on 139 SMS number and enquiry counter at dombivli station Can anybody help?,poor service
Railway why archna express is standing since last 1 and half hour at a single place between Lucknow and RaiBareilly?,train delay
Railway why are yiu guys not letting 14006 move from varanasi it is standing there from last three hours,train delay
Railway why are yiu guys not letting 14006 move from varanasi it is standing there from last three hours,train delay
Railway why there so much delay in train towards CST No train since 20 25 minutes towards CST 1:23pm CST train not arrived yet at cotton green station harbour line please don't delay local trains n fix issue,train delay
Railway Worst cleanliness in 12834 Howrah Ahmedabad exp in S5 S6 toilets Lights are not working water spill everywhere #SwachhBharat,hygiene
RailwayNorthern 19032 already delayed by 4 hrs and still waiting for signal don't know what kind of punctuality you are maintaining Do you refund the whole ticket amount to all passengers,train delay
